epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,4282.85,1.12022,0.74348,1.05501,0.56793,0.59039,0.56601,0.30616,1.73069,1.55095,1.49543,0.00112239,0.00112239,0.00112239
68,4333.86,1.0983,0.72781,1.04633,0.58621,0.59511,0.58281,0.31352,1.71272,1.44399,1.47532,0.00111414,0.00111414,0.00111414
69,4384.72,1.09861,0.73605,1.05109,0.56509,0.5993,0.57427,0.31855,1.7158,1.55453,1.47755,0.00110589,0.00110589,0.00110589
70,4436.72,1.08989,0.72784,1.04302,0.56956,0.62082,0.5819,0.317,1.72766,1.46446,1.50064,0.00109764,0.00109764,0.00109764
71,4488.43,1.09633,0.742,1.04504,0.57764,0.58358,0.574,0.31017,1.72096,1.46381,1.49302,0.00108938,0.00108938,0.00108938
72,4539.39,1.09421,0.72822,1.04469,0.58031,0.57839,0.5696,0.3072,1.71576,1.57965,1.48208,0.00108113,0.00108113,0.00108113
73,4590.12,1.08062,0.71609,1.03663,0.56728,0.61056,0.5759,0.31131,1.71098,1.49332,1.48145,0.00107288,0.00107288,0.00107288
74,4640.92,1.05421,0.69426,1.02743,0.58453,0.59433,0.58185,0.31392,1.7326,1.52166,1.50297,0.00106463,0.00106463,0.00106463
75,4692.02,1.08159,0.71461,1.0366,0.57884,0.60195,0.57756,0.31079,1.72449,1.4914,1.49234,0.00105638,0.00105638,0.00105638
76,4742.79,1.07028,0.70923,1.03082,0.56694,0.60813,0.57372,0.31044,1.70848,1.53773,1.48299,0.00104813,0.00104813,0.00104813
77,4793.69,1.04807,0.6867,1.02195,0.55912,0.60574,0.57677,0.31065,1.72901,1.54652,1.50858,0.00103987,0.00103987,0.00103987
78,4844.49,1.0559,0.69156,1.02481,0.55909,0.61311,0.57829,0.30559,1.76401,1.55177,1.53277,0.00103162,0.00103162,0.00103162
79,4895.53,1.04518,0.67995,1.01822,0.57439,0.59827,0.57558,0.30967,1.74289,1.54798,1.50913,0.00102337,0.00102337,0.00102337
80,4946.3,1.02451,0.66627,1.00814,0.58916,0.56821,0.57284,0.31368,1.7266,1.56504,1.50984,0.00101512,0.00101512,0.00101512
81,4997.44,1.03017,0.67033,1.01221,0.61423,0.55246,0.57944,0.30763,1.72809,1.53096,1.51262,0.00100687,0.00100687,0.00100687
82,5048.18,1.02639,0.67179,1.0133,0.55044,0.6015,0.54806,0.29515,1.73702,1.55299,1.52176,0.000998616,0.000998616,0.000998616
83,5099.09,1.02494,0.67053,1.01054,0.56558,0.61541,0.58376,0.31488,1.72062,1.54198,1.50169,0.000990365,0.000990365,0.000990365
84,5150.2,1.00312,0.65328,1.00232,0.60092,0.58917,0.5871,0.3202,1.73125,1.52968,1.51246,0.000982113,0.000982113,0.000982113
85,5201.19,1.01204,0.65724,1.00393,0.60459,0.57429,0.57471,0.31094,1.73465,1.52792,1.51488,0.000973861,0.000973861,0.000973861
86,5252.33,1.00744,0.65741,1.00429,0.58198,0.56889,0.57117,0.30878,1.72621,1.60701,1.50105,0.00096561,0.00096561,0.00096561
87,5304.17,1.00041,0.6546,0.99785,0.61394,0.56951,0.57181,0.31109,1.73071,1.58452,1.49948,0.000957358,0.000957358,0.000957358
88,5354.93,0.99164,0.64467,0.99856,0.57835,0.59894,0.57721,0.31463,1.7117,1.56106,1.4997,0.000949106,0.000949106,0.000949106
89,5405.97,0.98416,0.63487,0.99126,0.57119,0.58996,0.56916,0.31272,1.73303,1.66149,1.51015,0.000940855,0.000940855,0.000940855
90,5456.8,0.98775,0.64098,0.99521,0.58324,0.5702,0.56893,0.31131,1.73002,1.59222,1.51663,0.000932603,0.000932603,0.000932603
91,5507.65,0.97687,0.63423,0.99156,0.54971,0.6098,0.58005,0.31889,1.73128,1.58484,1.52727,0.000924352,0.000924352,0.000924352
92,5559.75,0.98021,0.63724,0.9918,0.56183,0.58675,0.55987,0.30558,1.73864,1.57823,1.5378,0.0009161,0.0009161,0.0009161
93,6601.63,0.98537,0.63576,0.9934,0.59508,0.58162,0.58327,0.31261,1.72708,1.60842,1.51347,0.000907848,0.000907848,0.000907848
94,6651.96,0.96394,0.61929,0.98595,0.58409,0.57432,0.57338,0.31237,1.74152,1.61446,1.53687,0.000899597,0.000899597,0.000899597
95,6702.44,0.96278,0.62577,0.98715,0.61563,0.54478,0.57457,0.30582,1.75664,1.6471,1.53004,0.000891345,0.000891345,0.000891345
96,6752.75,0.96227,0.62164,0.98406,0.59531,0.57881,0.58225,0.31674,1.72298,1.60978,1.51852,0.000883093,0.000883093,0.000883093
97,6803.23,0.95561,0.61844,0.98237,0.58423,0.57486,0.56218,0.30231,1.72905,1.62584,1.52526,0.000874842,0.000874842,0.000874842
98,6854.3,0.9653,0.62014,0.98614,0.57969,0.57514,0.57371,0.3115,1.73396,1.57343,1.52049,0.00086659,0.00086659,0.00086659
99,6906.71,0.94147,0.60644,0.97583,0.59719,0.5725,0.58789,0.32056,1.72982,1.59841,1.52954,0.000858338,0.000858338,0.000858338
100,7291.64,0.9349,0.59967,0.97572,0.58443,0.57511,0.5698,0.3085,1.74943,1.68954,1.55083,0.000850087,0.000850087,0.000850087
101,7341.78,0.96725,0.62417,0.98541,0.58094,0.58919,0.57418,0.31064,1.73219,1.62401,1.51201,0.000841835,0.000841835,0.000841835
102,7392.18,0.93188,0.6015,0.97356,0.5713,0.58939,0.57913,0.31832,1.71999,1.60044,1.53178,0.000833583,0.000833583,0.000833583
103,7442.83,0.91978,0.59385,0.96691,0.58644,0.57225,0.57165,0.31606,1.73632,1.68956,1.5494,0.000825332,0.000825332,0.000825332
104,7493.42,0.93463,0.60204,0.97125,0.61995,0.55434,0.56859,0.31521,1.72943,1.61885,1.52904,0.00081708,0.00081708,0.00081708
105,7545.82,0.9269,0.59423,0.97174,0.55637,0.60418,0.56769,0.30852,1.73881,1.61675,1.53708,0.000808828,0.000808828,0.000808828
106,7865.95,0.93187,0.60232,0.97569,0.59069,0.56175,0.57,0.31796,1.73438,1.68676,1.54166,0.000800577,0.000800577,0.000800577
107,7918.3,0.9084,0.57842,0.9623,0.59588,0.55966,0.56346,0.30811,1.73656,1.66873,1.53491,0.000792325,0.000792325,0.000792325
108,7969.64,0.89864,0.58294,0.96044,0.58353,0.57715,0.57253,0.31765,1.73667,1.69709,1.54988,0.000784073,0.000784073,0.000784073
109,8021.46,0.91028,0.58784,0.96578,0.57538,0.58328,0.57479,0.32012,1.72526,1.67636,1.52919,0.000775822,0.000775822,0.000775822
110,8072.5,0.91214,0.57787,0.96406,0.56459,0.57614,0.56259,0.31042,1.73577,1.69477,1.55073,0.00076757,0.00076757,0.00076757
111,8123.75,0.91044,0.58437,0.96771,0.58631,0.5743,0.57478,0.31748,1.74013,1.71182,1.54555,0.000759318,0.000759318,0.000759318
112,8174.34,0.89754,0.5726,0.95911,0.56934,0.58729,0.56647,0.31027,1.73939,1.66279,1.54968,0.000751067,0.000751067,0.000751067
113,8225.21,0.88231,0.56561,0.95513,0.59873,0.5629,0.57439,0.32015,1.72623,1.70032,1.54247,0.000742815,0.000742815,0.000742815
114,8277.95,0.88985,0.57043,0.95932,0.5835,0.56585,0.56256,0.31537,1.71874,1.7081,1.53181,0.000734564,0.000734564,0.000734564
115,8332.45,0.89459,0.57584,0.95953,0.59504,0.56104,0.56575,0.31235,1.73116,1.69422,1.53114,0.000726312,0.000726312,0.000726312
116,8387.47,0.88677,0.56938,0.95692,0.57615,0.57839,0.57147,0.31716,1.72528,1.66825,1.53383,0.00071806,0.00071806,0.00071806
117,8442.75,0.88871,0.57039,0.95691,0.58102,0.57674,0.57287,0.31413,1.73159,1.67911,1.54051,0.000709809,0.000709809,0.000709809
118,8497.6,0.89845,0.5764,0.9634,0.57892,0.5901,0.56994,0.31273,1.72755,1.65643,1.53666,0.000701557,0.000701557,0.000701557
119,8549.72,0.89454,0.57283,0.96095,0.61551,0.54114,0.56567,0.31265,1.73393,1.70304,1.543,0.000693305,0.000693305,0.000693305
120,8600.81,0.8632,0.55077,0.94789,0.60346,0.57889,0.58053,0.32274,1.71984,1.66015,1.54176,0.000685054,0.000685054,0.000685054
